"","x"
"1","time_body_acc_mean_x"
"2","time_body_acc_mean_y"
"3","time_body_acc_mean_z"
"4","time_body_acc_stdr_x"
"5","time_body_acc_stdr_y"
"6","time_body_acc_stdr_z"
"7","time_grav_acc_mean_x"
"8","time_grav_acc_mean_y"
"9","time_grav_acc_mean_z"
"10","time_grav_acc_stdr_x"
"11","time_grav_acc_stdr_y"
"12","time_grav_acc_stdr_z"
"13","time_body_acc_jrk_mean_x"
"14","time_body_acc_jrk_mean_y"
"15","time_body_acc_jrk_mean_z"
"16","time_body_acc_jrk_stdr_x"
"17","time_body_acc_jrk_stdr_y"
"18","time_body_acc_jrk_stdr_z"
"19","time_body_gyr_mean_x"
"20","time_body_gyr_mean_y"
"21","time_body_gyr_mean_z"
"22","time_body_gyr_stdr_x"
"23","time_body_gyr_stdr_y"
"24","time_body_gyr_stdr_z"
"25","time_body_gyr_jrk_mean_x"
"26","time_body_gyr_jrk_mean_y"
"27","time_body_gyr_jrk_mean_z"
"28","time_body_gyr_jrk_stdr_x"
"29","time_body_gyr_jrk_stdr_y"
"30","time_body_gyr_jrk_stdr_z"
"31","time_body_acc_mag_mean"
"32","time_body_acc_mag_stdr"
"33","time_grav_acc_mag_mean"
"34","time_grav_acc_mag_stdr"
"35","time_body_acc_jrk_mag_mean"
"36","time_body_acc_jrk_mag_stdr"
"37","time_body_gyr_mag_mean"
"38","time_body_gyr_mag_stdr"
"39","time_body_gyr_jrk_mag_mean"
"40","time_body_gyr_jrk_mag_stdr"
"41","freq_body_acc_mean_x"
"42","freq_body_acc_mean_y"
"43","freq_body_acc_mean_z"
"44","freq_body_acc_stdr_x"
"45","freq_body_acc_stdr_y"
"46","freq_body_acc_stdr_z"
"47","freq_body_acc_meanfreqx"
"48","freq_body_acc_meanfreqy"
"49","freq_body_acc_meanfreqz"
"50","freq_body_acc_jrk_mean_x"
"51","freq_body_acc_jrk_mean_y"
"52","freq_body_acc_jrk_mean_z"
"53","freq_body_acc_jrk_stdr_x"
"54","freq_body_acc_jrk_stdr_y"
"55","freq_body_acc_jrk_stdr_z"
"56","freq_body_acc_jrk_meanfreqx"
"57","freq_body_acc_jrk_meanfreqy"
"58","freq_body_acc_jrk_meanfreqz"
"59","freq_body_gyr_mean_x"
"60","freq_body_gyr_mean_y"
"61","freq_body_gyr_mean_z"
"62","freq_body_gyr_stdr_x"
"63","freq_body_gyr_stdr_y"
"64","freq_body_gyr_stdr_z"
"65","freq_body_gyr_meanfreqx"
"66","freq_body_gyr_meanfreqy"
"67","freq_body_gyr_meanfreqz"
"68","freq_body_acc_mag_mean"
"69","freq_body_acc_mag_stdr"
"70","freq_body_acc_mag_meanfreq"
"71","freq_body_acc_jrk_mag_mean"
"72","freq_body_acc_jrk_mag_stdr"
"73","freq_body_acc_jrk_mag_meanfreq"
"74","freq_body_gyr_mag_mean"
"75","freq_body_gyr_mag_stdr"
"76","freq_body_gyr_mag_meanfreq"
"77","freq_body_gyr_jrk_mag_mean"
"78","freq_body_gyr_jrk_mag_stdr"
"79","freq_body_gyr_jrk_mag_meanfreq"
"80","angl_tbody_acc_mean_gravity"
"81","angl_tbody_acc_jrk_mean_gravitymean)"
"82","angl_tbody_gyr_mean_gravitymean"
"83","angl_tbody_gyr_jrk_mean_gravitymean"
"84","angl_x_gravitymean"
"85","angl_y_gravitymean"
"86","angl_z_gravitymean"
